,value,sentiment,tweet
0,-0.2916666666666667,Negative,work realli hard thi happi final look forward 
1,0.0,Neutral,heard someth big wa suppos happen today guess alway happi birthday davi legend 
2,-1.3,Negative,happi friday crew white nationalist hate group amp trump support tri inspir violenc dc yesterday fail miser whi becaus leader wasnt organ tweet post amp incit way 
3,0.5,Positive,onli thing never get enough love onli thing give thi tweet reach feel veri happi bbb3 shoot wrap 
4,0.0,Neutral,happi birthday 
5,0.0,Neutral,happi birthday moni 
6,0.0,Neutral,sbsnowinsta stori updat jinhoonchan look happi 
7,0.0,Neutral,im happi want around 
8,0.0,Neutral,happi th independ day god bless homeland ghana 
9,1.3571428571428572,Positive,need2laugh+when sun ive got someth laugh feel good special way im love+it sunni day beatlesg ps silli song happi song 
10,0.0,Neutral,happi birthday lord endlanti 
11,0.0,Neutral,happi birthday moni 
12,0.40909090909090906,Positive,happi new year friend new year` write hope happi new year friend 
13,0.0,Neutral,year togeth happi wed anniversari dear wish life time happi memori 
14,-0.3,Negative,aaaaa comment make happi tt tt ill keep post pl check futur one thank much comment lt3 
15,2.1666666666666665,Positive,let clean mew search mew mewlion mew waanjai mew happi mew chopper mew ice cream mew good day mew nan na mew nice mew love mew season 
16,0.0,Neutral,happi bx day 
17,0.13636363636363635,Neutral,remad king made new merlin pin im happi 
18,1.0,Positive,pl shout happi birthday meg plsthat greatest birthday evaaaa 
19,0.0,Neutral,happi birthday 
20,0.0,Neutral,happi birthday one icon highnot courtesi truli mr moon taeil 
21,-0.2,Negative,im happi say anyth whole chest give fuck mf gon feel amaz 
22,0.0,Neutral,ig herin updat stori yeri happi birthday beauti sister lover 
23,-0.16428571428571437,Neutral,first time ever collect everi singl bug fish deep sea creatur donat anim cross game ive fan seri sinc wild world ds everi mainlin game seri im veri happi right 
24,0.0,Neutral,happi birthday gump 
25,-0.01428571428571429,Neutral,mayb im late parti hand coolest place miami right happi hour pick convo 
26,-0.30000000000000004,Negative,harri isnt openli queer whi everyon happi movi hate david cast theyv rumor sexual doubl standard 
27,0.8,Positive,inbetween loretheori definit two differ entiti write book franticli written one joy happi one theori abt thread 
28,0.008333333333333304,Neutral,happi hope put smile face get dick hard 
29,0.15,Neutral,femal need normal dont need nigga happi 
30,0.13636363636363635,Neutral,medit key solut everi problem million peopl practic medit taught saint dr insan ji amp achiev posit mindset happi live 
31,0.0,Neutral,happi qixi 
32,1.3333333333333333,Positive,onc woman pregnant marri im never wish happi birthday wish best tho 
33,0.0,Neutral,happi nd anniversarri adik2 
34,0.1,Neutral,happi year old eleph 
35,0.0,Neutral,happi year thank jare padalecki 
36,0.0,Neutral,alway rememb thank god ha given didnt ask happi friday 
37,0.0,Neutral,miss excus draw mag obviou choic one caus im predict like happi birthday 
38,0.0,Neutral,happi pill 
39,0.0,Neutral,happi us 
40,0.0,Neutral,happi tiger chuf tiger 
41,0.0,Neutral,happi birthday kiddwaya world kiddwaya day 
42,0.0,Neutral,ahhh free game ever get would happi info dump liter everyth 
43,0.0,Neutral,well happi even burma turn war zone goe ash like japan rise zero militari oppress us like thi even allow human militari massacr 
44,0.7,Positive,care share good news everyon genuin happi us 
45,0.0,Neutral,happi anniversari sir ji 
46,0.0,Neutral,happi birthday 
47,0.0,Neutral,happi birthday pray god bless happi thi univers may prosper shine everywher go god bless mani mani return day haider bhai 
48,0.375,Positive,happi happi birthday babi lt3 gawin mo na due date mo love babyyi 
49,0.4,Positive,know get old lay fun happi hell 
50,0.15,Neutral,femal need normal dont need nigga happi 
51,-0.75,Negative,happi birthday ran weird way say happi birthday like usual mayb cant think anyth current 
52,0.0,Neutral,im happi hear thi 
53,0.0,Neutral,happi birthday bebi boo 
54,0.0,Neutral,happi us 
55,1.7,Positive,mompeemew good morn happi friday morn everyon today famili would like thank fan love pmew alway cheer say famili love fan chopper 
56,0.0,Neutral,ahhh yaaay advanc happi birthday princess coco thank organ 
57,0.7,Positive,forget yesterday ha alreadi forgotten dont sweat tomorrow havent even met instead open eye amp heart truli preciou gift today happi friday sushant deserv fair justic 
58,0.5,Positive,love start find got cheat month like didnt realli care wa happi relationship end 
59,0.0,Neutral,ye pa end thi would make lot pennsylvanian veri happi uplift mandat 
60,0.38749999999999996,Positive,hiii camilla friend th birthday tomorrow love much would mean lot make entir day could notic say happi birthday 
61,0.7,Positive,well end make sketch digit color good stuff im actual pretti happi thi came 
62,0.0,Neutral,happi birthday sir 
63,1.0,Positive,happi birthday kak wish best ya 
64,0.0,Neutral,ig herin updat stori yeri happi birthday beauti sister lover 
65,-0.625,Negative,know hope thi doesnt come mean mean dont want hear say happi birthday 
66,0.0,Neutral,happi birthday 
67,0.0,Neutral,happi th anniversari botw 
68,0.5,Positive,todosero make heart happi love dynam interact 
69,0.0,Neutral,happi bornday request sb19 day 
70,0.0,Neutral,happi birthday bro 
71,0.5,Positive,happi birthday biggest littl love bun bun 
72,0.0,Neutral,reveng porn set becom illeg nationwid happi women histori month 
73,0.0,Neutral,happi birthday yaa 
74,1.4,Positive,appreci kind word brother veri happi proud grab brass ring go know champ repres 
75,0.1,Neutral,boom direct connect happi march th guy 
76,0.3,Positive,happi birthday michael god bless hope get someth fun realli soon celebr drew ky 
77,1.0,Positive,happi birthday geniu selvaraghavan sir wonder year ahead best wish 
78,0.0,Neutral,reveng porn set becom illeg nationwid happi women histori month 
79,0.8,Positive,listen song make happi whenev pleas help introduc turn mtv audienc request arashi parti starter whenev call day life reborn brave 
80,0.0,Neutral,happi birthday michael wish wonder day 
81,-0.5,Negative,saint dr singh ji insan urg follow celibaci marriag one follow celibaci contact ill follow valuabl preach dr msg healthi happi life 
82,0.35714285714285715,Positive,happi reveal special cdp thalapathi fan birthday wish happi birthday bro design wish 
83,0.0,Neutral,happi birthday jayamma never forget thi charact 
84,-0.15000000000000002,Neutral,happi bass day 
85,0.0,Neutral,wanna feel happi day 
86,0.2,Positive,would never dream say much someon els need happi say enough happi natur id like 
87,0.2857142857142857,Positive,fitbit wa happi today everyth right 
88,0.9,Positive,goodmorn goodmorn goodmorn nicomain happi friday happi enjoy littl thing life littl thing matter stay safe stay healthi stay happi daddysgurlmain bdaybuka 
89,0.0,Neutral,yeyyy happi birthday 
90,0.0,Neutral,happi birthdaaayi youuu 
91,-0.5,Negative,saint dr singh ji insan urg follow celibaci marriag one follow celibaci contact ill follow valuabl preach dr msg healthi happi life 
92,0.0,Neutral,im happi grammi come know youll big night 
93,0.4363636363636364,Positive,gladi say vax mandatori travel normal live desir go back normal incent take vaccin word mandatori medic procedur unless happi never leav hous 
94,1.0857142857142856,Positive,yall hope put screenshot right order thing made happi thi epic saga involv truck stop hometown good buddycountri music geniu wheeler walker jr 
95,0.0,Neutral,happi birthday jenni 
96,0.0,Neutral,reveng porn set becom illeg nationwid happi women histori month 
97,0.0,Neutral,11 wanda get happi end 
98,-0.5,Negative,im twitch affili im realli happi thi stream journey ill stream tonight 00pm gonna play ssbu come join celebr becom affili 
99,0.0,Neutral,boy work sinc met happi man 
100,0.0,Neutral,reveng porn set becom illeg nationwid happi women histori month 
101,0.1,Neutral,happi r30 increas gave old peopl 
102,0.0,Neutral,hello thi gift sent youngja coco birthday coupl item necklac pup bracelet owner hope youngja coco like advanc happi birthday coco 
103,0.0,Neutral,happi birthday yeri aurora yeri 
104,-0.041666666666666796,Neutral,ill prepar hard make good memori engen thank wait us dure thi difficult time may onli happi daysday well smile come us futur first time film music video life byseung 
105,0.0,Neutral,happi birthday 
106,0.0,Neutral,lrt im rlli gonna happi cri rn 
107,2.1666666666666665,Positive,pleas join us clean mew search quot repli mew mewlion mew wanjaai mew happi mew chopper mew ice cream mew good day mew nan na mew nice mew love mew season 
108,0.0,Neutral,imyourjoy stori happi birthday cuti yerimi yerimies 
109,0.0,Neutral,reveng porn set becom illeg nationwid happi women histori month 
110,0.0,Neutral,happi moonba friday kevin extra happi today 
111,0.0,Neutral,hiiiiiiiii happi thursday 
112,0.0,Neutral,wish hero capt amit bhardwaj 4jat veri happi birthday th may immort search oper saurabh kalia troop kill infiltratorshi weapon wa found hi hand hi bodi wa recov day 
113,0.0,Neutral,thank goat doesnt hurt could way wors happi week check 
114,0.0,Neutral,happi bday 
115,0.8,Positive,ig joy updat stori yeri happi birthday cuti yerimi 
116,0.7,Positive,happi morn ajithiyan good day 
117,0.0,Neutral,problemstay bless happi 
118,0.0,Neutral,guy came two close irl earlier felt happi 
